PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Total_Fluorescence-Curve_Description,Total_Fluorescence-Fit_LogAC50,Total_Fluorescence-Fit_HillSlope,Total_Fluorescence-Fit_R2,Total_Fluorescence-Fit_InfiniteActivity,Total_Fluorescence-Fit_ZeroActivity,Total_Fluorescence-Fit_CurveClass,Total_Fluorescence-Excluded_Points,Total_Fluorescence-Max_Response,Total_Fluorescence-Activity at 0.0000080105 uM,Total_Fluorescence-Activity at 0.0000240316 uM,Total_Fluorescence-Activity at 0.0000720949 uM,Total_Fluorescence-Activity at 0.0002162846 uM,Total_Fluorescence-Activity at 0.0006488539 uM,Total_Fluorescence-Activity at 0.00195 uM,Total_Fluorescence-Activity at 0.00584 uM,Total_Fluorescence-Activity at 0.011 uM,Total_Fluorescence-Activity at 0.024 uM,Total_Fluorescence-Activity at 0.056 uM,Total_Fluorescence-Activity at 0.112 uM,Total_Fluorescence-Activity at 0.185 uM,Total_Fluorescence-Activity at 0.370 uM,Total_Fluorescence-Activity at 0.739 uM,Total_Fluorescence-Activity at 1.479 uM,Total_Fluorescence-Activity at 2.959 uM,Total_Fluorescence-Activity at 5.916 uM,Total_Fluorescence-Activity at 11.83 uM,Total_Fluorescence-Activity at 23.66 uM,Total_Fluorescence-Activity at 47.32 uM,Total_Fluorescence-Activity at 94.62 uM,Total_Fluorescence-Activity at 143.8 uM,Total_Fluorescence-Activity at 287.5 uM,FP-Curve_Description,FP-Fit_LogAC50,FP-Fit_HillSlope,FP-Fit_R2,FP-Fit_InfiniteActivity,FP-Fit_ZeroActivity,FP-Fit_CurveClass,FP-Excluded_Points,FP-Max_Response,FP-Activity at 0.0000080105 uM,FP-Activity at 0.0000240316 uM,FP-Activity at 0.0000720949 uM,FP-Activity at 0.0002162846 uM,FP-Activity at 0.0006488539 uM,FP-Activity at 0.00195 uM,FP-Activity at 0.00584 uM,FP-Activity at 0.011 uM,FP-Activity at 0.024 uM,FP-Activity at 0.056 uM,FP-Activity at 0.112 uM,FP-Activity at 0.185 uM,FP-Activity at 0.370 uM,FP-Activity at 0.739 uM,FP-Activity at 1.479 uM,FP-Activity at 2.959 uM,FP-Activity at 5.916 uM,FP-Activity at 11.83 uM,FP-Activity at 23.66 uM,FP-Activity at 47.32 uM,FP-Activity at 94.62 uM,FP-Activity at 143.8 uM,FP-Activity at 287.5 uM,Compound QC
24,49734034,24793473,CCCN1C2=CC(=C(C=C2N=C1C3CCCN3C4=NC(=CS4)C)Cl)Cl,Inconclusive,10,,,Fluorescent,28.2508,47.7144,,Partial curve; partial efficacy,-4.549,1.3723,0.9734,41.598,-6.1164,2.2,0 0 0 0 0 0 0 0 0 0 0 0,38.8678,,,,,,,,,,-10.5137,-8.4151,-7.3092,-4.0925,-4.0486,-2.2634,-1.4071,2.1877,4.9294,16.0208,28.0453,38.8678,,,Partial curve; partial efficacy,-4.799,1.1,0.8369,41.7481,4.0172,2.2,0 0 0 0 0 0 0 0 0 0 0 0,33.1334,,,,,,,,,,2.6987,-0.8996,-1.949,14.9925,13.3433,8.5457,4.9475,11.2444,22.6387,29.0855,40.9295,33.1334,,,QC'd by Viktor Krchnak - Univ. of Notre Dame - MLI PSL
25,844955,6603458,CCCC(C1=NN=NN1CC2=CC=CS2)N3CCN(CC3)C4CCCC4.Cl,Active,44,,,Inhibitor,112.202,139.75,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-1.9151,,,,,,,,,,-9.9866,-9.5273,-7.0396,-5.8179,-3.2879,-2.713,-3.9697,-3.4521,-4.8924,-5.7505,-5.6139,-1.9151,,,Partial curve; high efficacy,-3.95,1.4163,0.9963,-131.073,8.6774,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-101.607,,,,,,,,,,,,14.0915,8.0346,9.6415,11.0012,4.8208,4.9444,3.0902,-0.2472,-13.8443,-39.555,-73.5476,-101.607,QC'd by DPISMR
26,4252103,3245698,C1CN(CCN1C2=CC=CC=N2)C(=O)CCN3C(=O)C=CC(=N3)C4=CC=CC=C4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,25.9694,,,,,,,,,,-9.6786,-6.5689,-5.3063,-3.8899,-0.7817,-1.0208,0.7411,0.4927,0.7311,5.7665,13.2454,25.9694,,,,,,,,,4,0 0 0 0 0 1 0 0 1 0 0 0,19.0909,,,,,,,,,,-6.6667,-7.7273,3.9394,8.9394,1.9697,16.9697,0.7576,4.697,-2.8788,18.3333,15.4545,19.0909,,,QC'd by DPISMR
27,26757967,71335,CN1C[C@@H]2C[C@H]1CN2C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)C5CC5)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.7766,,,,,,,,,,1.1734,-1.3488,-2.4306,-3.4496,-1.1882,-3.0418,0.6682,-0.5897,-0.4709,0.8688,-1.8895,-0.7766,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0,-15.4423,,,,,,,,,,3.2984,7.1964,3.4483,3.4483,0.2999,-5.3973,7.946,10.045,8.5457,-8.5457,-7.1964,-15.4423,,,QC'd by Sequoia
28,26757045,16760119,CC[C@@]12C=CCN3C1[C@]4(CC3)[C@H]([C@]([C@@H]2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,28.7425,,,,,,,,,,1.527,0.0377,-0.8738,-1.0462,-0.8371,-0.3069,-0.4263,0.9191,-4.8058,2.6309,13.1364,28.7425,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0,17.2414,,,,,,,,,,-0.1499,-5.6972,1.7991,12.7436,-1.3493,1.949,-1.949,-4.1979,-2.5487,-0.4498,-2.099,17.2414,,,QC'd by BIOMOL
29,14745475,2308236,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=CS3)C(=O)NC4=CC5=CC=CC=C5C=C4,Inconclusive,21,,,Inhibitor,15.8866,83.2697,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 1,9.2504,,,,,,,,,,-2.2524,-2.166,-1.6869,-10.6449,0.7831,-1.1277,-3.507,-6.3618,-18.5045,-18.4613,-4.0359,9.2504,,,Complete curve; partial efficacy,-4.799,2.7202,0.9425,-82.8,0.4697,-1.2,0 0 0 0 0 0 0 0 0 0 0 1,-43.1818,,,,,,,,,,5.4545,-4.2424,0.1515,-11.8182,8.4848,-6.9697,8.9394,-5.9091,-36.9697,-76.3636,-71.9697,-43.1818,,,QC'd by DPISMR
30,47201956,2266660,CC1=CC=C(C=C1)NC(=O)CN2C(=O)/C(=C/C3=CC=C(C=C3)C(=O)O)/SC2=O,Inconclusive,20,,,Inhibitor,70.9627,38.1942,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.6102,,,,,,,,,,0.9036,-0.756,0.6134,0.0116,1.1035,0.3091,0.2275,-0.4727,-1.3717,-3.0491,-12.2272,-10.6102,,,Single point of activity,-4.149,4.095,0.8368,-36.8606,1.3336,-3,0 0 0 0 0 0 0 0 0 0 0 0,-32.3838,,,,,,,,,,5.6972,-0.1499,1.0495,-1.6492,-0.5997,4.9475,-6.7466,10.9445,0.1499,-1.949,-9.7451,-32.3838,,,QC'd by ChemBridge
31,17507048,1110886,CC(=O)NC1=CC=C(C=C1)C2=CC(=NC(=N2)C3=CC=C(C=C3)NC(=O)C)C4=CC=C(C=C4)NC(=O)C,Inconclusive,10,,,Fluorescent,35.4813,58.5176,,Complete curve; partial efficacy,-4.45,2.4729,0.9965,59.2332,0.7156,1.2,0 0 0 0 0 0 0 0 0 0 0 0,55.8147,,,,,,,,,,0.8201,0.6445,-0.0356,0.5075,2.1402,2.0383,0.7482,-1.3099,6.6166,23.0607,45.4364,55.8147,,,Partial curve; high efficacy,-4.699,3.6272,0.9799,-102.877,0.0292,-2.1,0 0 0 0 0 0 0 0 0 0 1 1,38.9805,,,,,,,,,,-2.099,-5.8471,0.1499,1.949,4.4978,0.1499,-2.6987,4.1979,-26.8366,-80.2099,-51.5742,38.9805,,,QC'd by Asinex Ltd.
32,17414935,5739268,COC1=CC=CC(=C1)C2=NN(C=C2/C=C\C(=O)C3=CC=CS3)C4=CC=CC=C4,Inconclusive,21,,,Inhibitor,17.825,50.3182,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-2.5345,,,,,,,,,,-1.7994,-2.8864,-1.4953,-0.6027,-0.562,-1.075,-0.4646,-3.0847,-9.814,-14.2343,-11.0885,-2.5345,,,Complete curve; partial efficacy,-4.749,4.9549,0.9653,-43.3182,7,-1.2,0 0 0 0 0 0 0 0 0 0 0 1,-0.9091,,,,,,,,,,2.5758,4.5455,4.8485,9.5455,2.8788,7.5758,12.2727,10.303,-3.6364,-43.1818,-39.5455,-0.9091,,,QC'd by DPISMR
33,859414,660707,CC(=O)NC1=CC=C(C=C1)C2=CC3=CC=CC=C3O2,Inactive,0,,,Activator,141.254,37.9116,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,11.0497,,,,,,,,,,-3.0161,-4.4187,-2.3007,-1.9001,2.4108,0.57,0.4885,-0.2476,0.7414,-3.5477,0.4792,11.0497,,,Partial curve; partial efficacy,-3.85,2.7202,0.9739,38,0.0884,2.2,0 0 0 0 0 0 0 0 0 1 0 0,32.8801,,,,,,,,,,,,0.2472,-0.618,0.8653,3.7083,-1.8541,-2.843,2.225,-0.4944,0.618,-46.848,20.3956,32.8801,QC'd by DPISMR
34,49649455,24747996,COC1=CC=C(C=C1)C(O)P(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.9862,,,,,,,,,,,,1.3484,2.0081,-2.6544,1.2241,2.921,2.9114,-1.7346,-5.9415,-0.3459,4.7846,5.7356,-1.9862,,,,,,,4,,-9.589,,,,,,,,,,,,-7.0984,-6.7248,-2.1171,5.2304,-3.8605,-2.3661,-3.736,-10.4608,-6.7248,0.1245,-5.3549,-9.589,QC'd by Chem Div
35,4248322,866577,C1COCCN1C(=O)C2=CC3=C(S2)N=C4C=CC=CN4C3=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-1.3594,,,,,,,,,,,,-8.8674,-8.1081,-5.7433,-6.6318,-8.1488,-6.1283,-6.1838,-3.6852,-5.3461,-2.1312,-0.8166,-1.3594,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0,-18.5554,,,,,,,,,,,,-1.7435,-1.7435,-5.3549,-5.8531,6.6002,-8.9664,-3.3624,-11.7061,-6.6002,-5.3549,-10.8344,-18.5554,QC'd by DPISMR
36,49679825,5977173,C1=CC=C2C(=C1)C=C(/C(=N\NC(=O)C3=CC(=CC=C3)F)/O2)C(=O)N,Inactive,0,,,Inactive,,,,,,,,,,4,,5.9949,,,,,,,,,,2.1466,-0.0381,-0.6502,-0.5296,1.5333,1.0536,0.72,-0.234,0.5878,-0.9781,1.5686,5.9949,,,,,,,,,4,0 0 0 0 0 0 0 0 0 1 0 0,-15.4545,,,,,,,,,,-0.6061,8.9394,-0.7576,7.5758,5.4545,10.6061,5.303,0.4545,5.1515,-3.9394,3.7879,-15.4545,,,QC'd by Chem Div
37,49641872,3148550,CCOC(=O)CN1C=NC2=C(C1=O)C(=CS2)C3=CC(=C(C=C3)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,3.4505,,,,,,,,,,0.4058,0.1614,0.6045,-0.1911,0.0287,1.7518,-0.2892,0.7839,2.247,6.9157,9.5782,3.4505,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 1,-11.2444,,,,,,,,,,-5.8471,-3.4483,4.7976,-6.7466,-5.997,-0.4498,-3.2984,-2.8486,-6.7466,3.5982,1.1994,-11.2444,,,QC'd by Asinex Ltd.
38,49679731,6486044,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CSC(=C2)C(=O)N)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-9.3773,,,,,,,,,,,,-11.3918,-11.1958,-9.2479,-8.8196,-5.7308,-4.349,-6.0956,-2.8462,-1.9241,-2.5432,-5.1073,-9.3773,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,4.4832,,,,,,,,,,,,9.2154,2.4907,13.2005,9.589,16.0648,8.0946,2.1171,-9.589,3.2379,0.1245,-7.2229,4.4832,QC'd by Chem Div
39,49647151,1272562,CCOC(=O)C1=CN=C2C=CC(=CC2=C1NC3=CC=C(C=C3)N4CCN(CC4)C)OC,Active,44,,,Inhibitor,141.254,120.986,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-19.6522,,,,,,,,,,,,-2.5693,0.0735,1.4812,1.8261,3.8647,-0.5236,2.9991,0.9828,2.1513,-5.0944,-5.988,-19.6522,Partial curve; high efficacy,-3.85,1.7137,0.9673,-127.621,-6.6351,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-106.351,,,,,,,,,,,,-6.1021,-3.736,-7.721,4.2341,-6.2267,-16.6874,-8.2192,-6.9738,-26.5255,-35.3674,-65.0062,-106.351,QC'd by InterBioScreen
40,17403598,719141,CCOC(=O)C1=C(N=C(S1)NC(=O)NC2=CC=C(C=C2)Cl)C,Inconclusive,10,,,Fluorescent,50.1187,31.2678,,Partial curve; partial efficacy,-4.3,4.9549,0.9321,30,-1.2678,2.2,0 0 0 0 0 0 0 0 0 1 0 0,31.8758,,,,,,,,,,0.9826,0.4608,-2.4243,-4.3699,2.7044,0.0657,1.8535,-1.7427,-7.3065,-9.4743,19.0783,31.8758,,,Complete curve; partial efficacy,-3.95,4.9549,0.9349,42.822,-7.8677,1.2,0 0 0 0 0 0 0 0 0 0 0 0,38.3189,,,,,,,,,,,,-7.911,-4.4499,-0.3708,-6.1805,-5.686,-12.6082,-10.2596,-6.5513,-12.8554,-9.7651,37.4536,38.3189,QC'd by DPISMR
41,17410610,1432746,CC1=CC2=C(C=C1C)N=C(N2)C3=CN=C(C=C3)SCC(=O)NC4=CC5=C(C=C4)OCCO5,Inconclusive,10,,,Fluorescent,89.3367,31.8559,,Single point of activity,-4.049,4.9549,0.8757,32,0.1441,3,0 0 0 0 0 0 0 0 0 0 0 0,31.679,,,,,,,,,,0.2451,1.2935,2.9108,0.1734,-0.0144,0.5226,0.4533,1.0038,1.6298,-1.6835,-4.0466,31.679,,,Single point of activity,-3.75,4.9549,0.8987,50.0369,-7.0813,3,0 0 0 0 0 0 0 0 0 0 1 0,45.197,,,,,,,,,,,,-2.9557,-3.202,-8.4975,-7.0197,-10.468,-12.069,-4.5567,0.9852,-3.202,-17.3645,-23.5222,45.197,QC'd by DPISMR
42,49666417,3498566,C1CN(CCN1CCC(=O)C2=CC=C(C=C2)Cl)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 1 0 0 0 0 0 0,-6.0032,,,,,,,,,,,,1.9323,2.6141,2.0632,0.8816,-0.4151,-2.7022,0.2591,1.1109,0.0481,-3.7951,-3.5584,-6.0032,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-16.0648,,,,,,,,,,,,-3.6115,-3.4869,-1.7435,2.3661,-0.3736,-0.8717,-5.1059,5.4795,5.9776,-7.2229,-3.8605,-16.0648,QC'd by Key Organics Ltd.
43,49716493,6035171,COC(=O)C1=CC=CC=C1NC2=C/C(=N\S(=O)(=O)C3=CC=C(C=C3)C(=O)O)/C4=CC=CC=C4C2=O,Inconclusive,10,,,Quencher,89.1251,54.3091,,Complete curve; partial efficacy,-4.05,2.7202,0.9795,-60.6278,-6.3187,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-58.4348,,,,,,,,,,,,-10.7758,-8.774,-9.4631,-9.3139,-4.4813,-3.8335,-3.6138,-4.1104,-7.9,-26.4608,-49.3565,-58.4348,Partial curve; high efficacy,-3.95,1.9887,0.9943,-140.75,5.1656,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-120.299,,,,,,,,,,,,8.8418,3.736,8.3437,7.3474,5.3549,-0.7472,5.9776,-1.9925,-11.208,-32.8767,-88.0448,-120.299,QC'd by Chem Div
44,49678188,4831277,C1CN(CCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O)CC(COC4=CC=C(C=C4)C#N)O,Active,60,,,Inhibitor,31.6228,65.8423,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,13.5556,,,,,,,,,,1.3721,-1.696,1.1027,1.4935,2.7635,2.8619,3.096,2.2152,3.5104,2.827,6.2409,13.5556,,,Complete curve; partial efficacy,-4.5,2.3332,0.9846,-67.9866,-2.1443,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-64.9888,,,,,,,,,,0.783,-5.0336,1.4541,-2.4609,-8.613,-1.4541,-0.6711,-1.1186,-12.528,-31.9911,-53.915,-64.9888,,,QC'd by Enamine
45,17414114,732217,C1CC2=CC=CC=C2N(C1)C(=S)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-],Inconclusive,10,,,Quencher,223.872,71.7065,,Single point of activity,-3.65,2.2526,0.9428,-69.7387,1.9677,-3,0 0 0 0 0 0 0 0 0 0 0 0,-52.8324,,,,,,,,,,,,2.4904,1.3494,1.7256,2.3423,0.5002,0.9125,0.6986,1.3901,-0.5231,-1.1032,-9.7018,-52.8324,Partial curve; high efficacy,-3.8,3.0654,0.9177,-76.0345,-0.8054,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-84.4828,,,,,,,,,,,,3.5714,-3.8177,1.2315,3.0788,0.3695,-1.2315,-1.7241,-0.3695,-3.8177,-13.9163,-23.5222,-84.4828,QC'd by DPISMR
46,26669773,54682197,C1=CC=C2C(=C1)C(=C(C(=O)O2)C(C3=CC=CC=N3)C4=C(C5=CC=CC=C5OC4=O)O)O,Inconclusive,10,,,Quencher,141.254,31.012,,Partial curve; partial efficacy,-3.85,4.4495,0.968,-34.503,-3.491,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-33.8264,,,,,,,,,,,,-2.4439,-7.387,-5.7678,-1.2425,-4.2694,-2.8053,-3.3255,-2.916,-1.9495,-4.12,-21.1303,-33.8264,Partial curve; partial efficacy,-4.099,4.045,0.6967,-36.3418,-3.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-30.2849,,,,,,,,,,-10.1949,-6.4468,-13.3433,-2.5487,1.6492,-3.8981,1.7991,5.3973,-5.5472,-2.8486,-10.9445,-30.2849,,,QC'd by null
47,49648669,7679511,CCCC1=CC(=O)OC2=C3CN(COC3=C(C=C12)Cl)CCCO,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-6.7375,,,,,,,,,,,,0.454,2.3212,2.297,3.8857,2.6578,3.867,1.8295,-0.7719,1.1798,-1.4813,-4.9584,-6.7375,,,,,,,4,0 0 0 0 1 0 0 0 0 0 0 0,-18.1818,,,,,,,,,,,,-4.1096,2.6152,-5.1059,-1.7435,5.7285,-0.6227,-7.8456,-6.8493,-2.4907,-13.2005,-11.9552,-18.1818,QC'd by InterBioScreen
48,49716395,1257101,COC1=C(C=CC(=C1)SC)C(=O)NC2=CC=CC(=C2)C3OCCCO3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-17.2157,,,,,,,,,,,,1.2465,0.2742,2.3759,3.0337,2.4824,0.4485,2.1761,2.9236,-0.0124,-1.8913,-3.1513,-17.2157,,,,,,,4,,-15.193,,,,,,,,,,,,-14.4458,-19.9253,-5.604,-3.736,-4.3587,5.7285,-2.9888,-7.721,-8.0946,-15.3176,-12.5778,-15.193,QC'd by Chem Div
49,14736450,1291616,COC1=CC=CC=C1CC(=O)NC2=CC=C(C=C2)C3=NOC(=N3)COC4=CC=C(C=C4)Br,Active,42,,,Inhibitor,70.9627,116.318,,,,,,,,4,,-2.2879,,,,,,,,,,-10.2071,-11.4007,-8.6512,-8.5165,-6.7794,-6.8655,-6.6537,-4.1855,-6.1194,-11.8529,-16.8942,-2.2879,,,Partial curve; high efficacy,-4.149,2.2481,0.9155,-111.265,5.0525,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-88.3058,,,,,,,,,,-5.0975,-4.7976,10.045,5.997,11.3943,6.5967,12.7436,5.5472,7.0465,-22.4888,-26.8366,-88.3058,,,QC'd by DPISMR
50,49678258,7207507,CC1=C(SC(=N1)C)C2=NN=C(C=C2)SCC3=CC=CC=C3F,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,18.986,,,,,,,,,,-0.9943,-2.8267,-1.678,-0.0881,0.7909,1.7645,-0.6426,0.5346,1.3132,3.3187,12.4989,18.986,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0,20.8396,,,,,,,,,,4.048,0.8996,1.4993,-5.997,4.1979,10.1949,8.5457,7.4963,0.2999,10.045,13.3433,20.8396,,,QC'd by Life Chemicals
51,22402418,983525,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2)C3=CN4C=CC=NC4=N3,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-14.7057,,,,,,,,,,,,3.7665,1.5363,1.879,2.3739,3.7821,3.1907,2.109,-2.3592,0.2148,-3.0734,-3.5554,-14.7057,,,,,,,4,,-23.1631,,,,,,,,,,,,-6.8493,-10.4608,-16.1893,-10.8344,-4.4832,-6.1021,-11.3325,-12.8269,-4.7323,-7.8456,-11.5816,-23.1631,QC'd by Life Chemicals
52,49645946,24747373,CCC1=CC2=C(C=C1)N(C(=O)C2NC(=O)C)CCN3CCOCC3.Cl,Inconclusive,20,,,Inhibitor,79.6214,51.8583,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,-4.3461,,,,,,,,,,-9.3171,-7.4083,-5.0859,-3.8922,-4.1362,-1.9089,-0.1665,-0.7471,-0.1536,0.1751,1.9273,-4.3461,,,Single point of activity,-4.099,4.9549,0.8123,-50.3118,1.5465,-3,0 0 0 0 0 0 0 0 0 0 0 0,-49.3253,,,,,,,,,,-9.8951,-2.099,1.0495,2.099,-9.8951,3.5982,9.7451,5.8471,-0.2999,8.3958,0,-49.3253,,,QC'd by InterBioScreen
53,17432568,1926761,CC(=O)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N/C=C/C(=O)C3=CC(=CC=C3)OC,Inconclusive,21,,,Inhibitor,44.6684,73.1606,,,,,,,,4,,1.4593,,,,,,,,,,,,-8.6419,-8.6486,-7.189,-6.5897,-4.5547,-2.4814,-2.1068,-5.1929,-17.5811,-32.7381,-14.2632,1.4593,Complete curve; partial efficacy,-4.35,3.99,0.9008,-69.6189,3.5417,-1.2,0 0 0 0 0 0 0 0 0 0 0 1,48.1943,,,,,,,,,,,,4.7323,9.589,-2.1171,5.7285,5.2304,1.6189,-4.2341,1.2453,-10.8344,-79.5766,-53.5492,48.1943,QC'd by ChemBridge
54,49667092,8072991,CC1=C(N(C2=NC=NC(=C12)NCCC3=CC=CC=C3)CCOC)C,Inconclusive,10,,,Fluorescent,56.3677,41.4656,,Partial curve; partial efficacy,-4.249,1.7137,0.9956,44.9656,3.5,2.2,0 0 0 0 0 0 0 0 0 0 0 0,35.7506,,,,,,,,,,4.3561,3.0086,1.9,3.1603,3.51,3.6148,4.7931,5.4613,6.7802,13.6503,24.5885,35.7506,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,20.6061,,,,,,,,,,-3.6364,-6.9697,1.3636,-0.1515,2.4242,5.1515,-2.5758,4.0909,1.3636,-5,18.1818,20.6061,,,QC'd by InterBioScreen
55,17407323,1792197,CN(C1=CC=CC=C1)S(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)/C=C/C3=CC=CC=C3OC,Inconclusive,21,,,Inhibitor,20,51.1004,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,29.0001,,,,,,,,,,1.938,-0.9006,1.9046,1.5481,3.7832,6.0861,4.8835,2.5094,0.3151,0.4631,14.3515,29.0001,,,Complete curve; partial efficacy,-4.699,3.99,0.9193,-53.1769,-2.0765,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-40.4798,,,,,,,,,,-3.7481,-2.3988,-7.6462,0,-1.1994,5.997,-0.1499,-7.3463,-13.0435,-44.2279,-64.7676,-40.4798,,,QC'd by DPISMR
56,24781802,1511049,CCC1=NN=C(S1)NC(=O)C2(COC(OC2)C3=CC=C(C=C3)OC)C,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,13.4415,,,,,,,,,,-1.2574,-1.4646,0.3782,-2.3335,-0.7031,-0.3645,-0.5664,-0.376,0.5663,0.1917,7.1133,13.4415,,,,,,,,,4,,12.7436,,,,,,,,,,-7.1964,7.6462,5.5472,-0.8996,-4.3478,-0.8996,-0.1499,7.0465,4.6477,-5.0975,0.2999,12.7436,,,QC'd by Chem Div
57,26754297,6604661,CN1[C@@H](CCC[C@H]1CC(=O)C2=CC=CC=C2)C[C@H](C3=CC=CC=C3)O,Inactive,0,,,Inactive,,,,,,,,,,4,,1.0035,,,,,,,,,,,,0.2921,-2.1973,-2.0973,-0.6386,0.4042,0.7519,3.8811,1.6708,-1.4214,0.279,-0.1725,1.0035,,,,,,,4,,-6.8493,,,,,,,,,,,,2.1171,-2.7397,-3.736,4.4832,-1.1208,2.4907,3.3624,6.3512,5.8531,-2.8643,0,-6.8493,QC'd by Timtec
58,49665152,16423218,C1COCCN1CCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,10.8491,,,,,,,,,,,,-9.6867,-10.1524,-7.8149,-3.9894,-5.2845,-3.206,-3.5648,-1.3163,-0.1081,3.36,4.7703,10.8491,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-6.8493,,,,,,,,,,,,2.7397,11.457,12.0797,3.736,-0.7472,-1.4944,0.7472,1.868,-4.4832,-2.6152,-8.5928,-6.8493,QC'd by InterBioScreen
59,17412585,1346958,CC1=C(C=CC(=C1O)C2=NNC(=C2OC3=CC=CC=C3)C)OCC4=CN(N=C4)C5=CC=CC=C5,Inconclusive,21,,,Inhibitor,20,72.9364,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 1,10.2972,,,,,,,,,,1.8619,1.9891,0.8464,0.6476,1.5482,0.4922,1.2637,-0.4711,-6.9744,-10.166,-3.7038,10.2972,,,Complete curve; partial efficacy,-4.699,4.9549,0.9827,-73.5273,-0.5909,-1.2,0 0 0 0 0 0 0 0 0 0 0 1,-21.3636,,,,,,,,,,-1.9697,2.7273,0.1515,4.3939,-7.4242,-5.9091,0.9091,1.2121,-11.6667,-65.4545,-71.5152,-21.3636,,,QC'd by DPISMR
