PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0000106889 uM,Activity at 0.0000320667 uM,Activity at 0.0000962002 uM,Activity at 0.0002886007 uM,Activity at 0.0008658020 uM,Activity at 0.00260 uM,Activity at 0.00779 uM,Activity at 0.015 uM,Activity at 0.032 uM,Activity at 0.075 uM,Activity at 0.150 uM,Activity at 0.246 uM,Activity at 0.492 uM,Activity at 0.984 uM,Activity at 1.967 uM,Activity at 3.937 uM,Activity at 7.870 uM,Activity at 15.74 uM,Activity at 31.48 uM,Activity at 62.95 uM,Activity at 125.9 uM,Activity at 191.7 uM,Activity at 383.4 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,,MICROMOLAR,PERCENT,,,NONE,NONE,NONE,PERCENT,PERCENT,NONE,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,24808945,762122,CC1=CC=C(N1C2=CC=C(C=C2)N(C)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,5.3438,,,,,,,,,,-0.3116,5.3692,10.4602,3.7584,4.1829,6.8927,2.9343,2.6136,-0.6058,4.4458,4.6053,5.3438,,,QC'd by Asinex Ltd.
113,49667970,1897383,C1=CC=C(C=C1)C(=O)NC2=C(C(=O)C(=C(C2=O)Cl)NC(=O)C3=CC=CC=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,-2.3807,,,,,,,,,,,,-0.5054,-2.3656,-1.4401,2.6629,-3.1107,-2.1574,-2.7013,0.2602,-3.1688,-2.577,-0.7179,-2.3807,QC'd by InterBioScreen
114,26747944,5702027,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)N1)CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)CC.[Na+].[Na+].[Na+].[Na+].[Na+],Inactive,0,,,Inactive,,,,,,,,,,4,,2.4776,,,,,,,,,,4.5982,7.2706,8.2076,-1.5238,11.1462,5.6691,6.9186,5.1998,16.5447,5.1099,11.9493,2.4776,,,QC'd by Microsource
115,24799349,16191020,CC(C1=NC=NC=C1)N(C)CC2=NC(=NO2)C3=CC=C(C=C3)C(F)(F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,7.7203,,,,,,,,,,10.1091,8.6821,9.2536,6.4326,2.2221,12.2639,7.1845,13.4192,11.6496,7.1106,5.5393,7.7203,,,QC'd by ChemBridge
116,50126128,24871458,CC1=CC2=C(C3C4=C(C[C@@](O3)(O2)C5=CSC=C5)C=C(C=C4)C#N)C(=O)N1CC6=CC=CC=C6,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0,-8.9666,,,,,,,,0.9861,1.378,-3.5321,4.6877,-0.6766,4.5426,4.558,2.399,4.7102,2.2715,-4.8849,-8.9666,,,,,QC'd by BUCMLD
117,49647097,729017,COC1=CC=C(C=C1)/C=C(\C#N)/C(=O)NCC2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,-1.5915,,,,,,,,,,-2.6796,10.1023,6.2215,-4.7771,1.731,5.2649,1.5223,4.462,3.6456,-2.1608,1.5143,-1.5915,,,QC'd by InterBioScreen
118,29216050,6764,C1=CC2=C(C(=O)C(=O)C3=C2C=CC=N3)N=C1,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.6129,,,,,,,,,,2.7614,3.0053,0.743,-0.374,-0.3525,-2.0701,-3.8989,7.5163,6.5386,3.8722,-3.3995,-3.6129,,,QC'd by Asinex
119,49672404,16286864,C1CN(CCN1CC(COC2=CC=C(C=C2)C#N)O)C(C3=CC=CC=C3)C4=CC=CC=C4,Inconclusive,21,,,Inhibitor,100,35.6742,,Partial curve; partial efficacy,-4,3.5117,0.9223,-37.1742,-1.5,-2.2,0 0 0 0 0 1 0 0 0 0 0 0,-30.5619,,,,,,,,,,-6.1238,3.8705,-0.9066,1.1654,-4.5769,-6.3732,-2.282,-1.1997,-1.1907,-2.2741,-11.8288,-30.5619,,,QC'd by Enamine
120,29215684,17756837,CN(C)C1=CC=C(C=C1)C(CCN2CCOCC2)C3=C(C=C(C4=C3OC(=O)C=C4)OC)OC,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.9453,,,,,,,,,,3.093,0.0723,-0.9229,-0.4053,-1.2449,1.9875,2.1747,1.2806,-1.8186,2.0474,0.8961,-0.9453,,,QC'd by KUCMLD
121,49677662,7216388,CN1C2=C(C=N1)C(=NC(=N2)NCCCO)N3CCCCC3,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 1 0 0 0 0 0 0 0 0 0,-5.4955,,,,,,,,,,-0.5169,7.5902,-1.4443,-0.8569,7.204,8.7135,4.155,8.0045,3.1932,-0.4725,1.4023,-5.4955,,,QC'd by Life Chemicals
122,49667248,20855961,CCCN(CCC)CCCNC(=O)C1=CC2=C(S1)C3=CC=CC=C3NC2=O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 1 0 0 0 0 1,5.6606,,,,,,,,,,6.7737,5.6025,5.2143,4.5774,7.0686,7.6368,-18.9566,5.9749,8.9741,5.9177,2.6756,5.6606,,,QC'd by Chem Div
123,24828068,3253517,CCCCC(=O)NC(=S)NC1=NN(N=N1)CCC,Inactive,0,,,Inactive,,,,,,,,,,4,,8.6864,,,,,,,,,,6.8486,3.957,4.3572,7.1015,4.9035,3.7278,4.4135,5.3647,8.335,0.5035,8.677,8.6864,,,QC'd by Enamine
124,11112549,19675,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,Inactive,0,,,Inactive,,,,,,,,,,4,,7.5605,,,,,,,,,5.9698,-2.7967,5.1515,4.7057,-0.1615,6.2488,0.7567,4.5672,5.3982,2.1544,3.9507,7.5605,,,,QC'd by Prestwick
125,4238894,3234002,COC1=CC=C(C=C1)NC(=O)N2CC[C@]3(C2)CCCN(C3)C(=O)C4=CSN=N4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 1 0 0 0 0 0 0,-2.4664,,,,,,,,,,6.4831,5.3906,2.3244,-1.4508,5.2411,4.8698,0.2066,-0.7689,-0.5465,2.2497,0.9152,-2.4664,,,QC'd by Pharmacopeia
126,17511697,931356,COC1=C(C(=O)C2=CC=CC=C2C1=O)NC3=CC=CC=C3,Inconclusive,10,,,Activator,141.254,80.0838,,Partial curve; high efficacy,-3.85,2.7868,0.9832,81.7758,1.692,2.1,0 0 0 0 0 0 0 0 0 0 0 0,85.1831,,,,,,,,,,,,-0.6075,2.7573,2.3573,4.3287,1.1702,0.5711,0.631,1.5675,5.8312,24.9426,51.3977,85.1831,QC'd by InterBioScreen
127,49673274,2475352,C1=CC=C(C=C1)S(=O)(=O)NCCC2=CNC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,,1.8923,,,,,,,,,,,,0.7625,0.2936,0.7669,-0.3671,-1.7968,0.4688,0.3419,2.1102,1.1626,2.8362,2.2716,1.8923,QC'd by Enamine
128,49666030,3756138,C1=CC=C(C=C1)C(C(C(=O)NC2=NC=CS2)Br)Br,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 0 0 0 0 0 0 0 0,-8.1495,,,,,,,,,,,,-1.3309,0.2094,0.0018,3.527,-2.3057,-0.3931,-1.275,-2.3284,1.162,-1.1674,-2.2977,-8.1495,QC'd by Key Organics Ltd.
129,17406742,6873600,COC1=C(C=C(C=C1)/C=N/NC(=O)C2=CC(=CC(=C2)OC)OC)COC3=CC4=CC=CC=C4C=C3,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-18.6686,,,,,,,,,,-2.6249,13.0678,7.3862,5.947,2.9331,2.7789,12.1523,6.3416,5.8687,4.1343,-13.1319,-18.6686,,,QC'd by DPISMR
130,857873,659218,CC(=O)O[C@H]1CSC[C@H]1NC(=O)C2=CC=CC=C2,Inactive,0,,,Inactive,,,,,,,,,,4,,5.2052,,,,,,,,,,0.3378,4.0745,-0.0579,5.2738,2.457,3.8541,2.6937,3.1113,2.28,2.3322,3.5369,5.2052,,,QC'd by DPISMR
131,26748424,23306,CC1=C2C=C(C(=CC2=CC3=[N+]1C=CC4=CC(=C(C=C43)OC)OC)OC)OC.[Cl-],Inconclusive,10,,,Activator,177.828,29.0874,,Partial curve; partial efficacy,-3.75,2.4064,0.9668,30,0.9126,2.2,0 0 0 0 0 0 0 0 0 0 0 0,30.3104,,,,,,,,,,,,-0.4895,2.1568,0.8913,0.008,0.7094,0.818,0.2433,0.4633,2.535,7.9557,14.8411,30.3104,QC'd by Microsource
132,49649314,6625106,CCOC1=CC=C(C=C1)CCNC(=O)C(C)N2C(=O)CC(SC3=CC=CC=C32)(C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,10.9163,,,,,,,,,,10.1554,4.9098,5.7419,10.3378,-3.0619,2.8137,5.6749,2.7855,13.6286,6.0696,12.9859,10.9163,,,QC'd by Chem Div
133,24835831,16196756,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)N3CC4=CC=CC=C4C3=N)N5CCOCC5.Br,Active,42,,,Inhibitor,89.0627,77.4869,,Partial curve; partial efficacy,-4.0503,3.5117,0.9801,-72.9869,4.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-71.5558,,,,,,,,,,5.387,7.0286,3.9826,6.1347,6.1286,7.3857,4.2213,2.7224,0.3002,-0.1948,-23.8098,-71.5558,,,QC'd by Enamine
134,24805815,830963,CCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C(=O)C4=CC=CO4,Active,43,,,Inhibitor,100,103.994,,Partial curve; high efficacy,-4,1.4163,0.9978,-104.35,-0.3567,-2.1,0 0 0 0 0 0 0 0 0 0 0 0,-90.5819,,,,,,,,,,,,2.985,-0.8157,-2.5428,-0.7983,-1.4759,-4.2436,-4.8559,-10.9315,-26.3081,-51.4633,-75.6229,-90.5819,QC'd by Asinex Ltd.
135,24785720,3934046,CC(C(=O)NC1=NC(=CS1)C2=CC=CC=C2)SC3=NN=C(S3)NC4=CC=CC=C4,Inconclusive,21,,,Inhibitor,79.3772,41.0497,,Partial curve; partial efficacy,-4.1003,2.1876,0.9191,-34.0281,7.0217,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-28.3567,,,,,,,,,,5.7471,10.023,1.2401,11.86,2.767,10.0193,9.4412,7.7173,4.6646,-2.4177,-10.9138,-28.3567,,,QC'd by Enamine
136,22402729,15944921,CC1=CC(=CC=C1)NC2=NN=C(S2)SCC(=O)NC(=O)NC3=CC4=C(C=C3)OCCO4,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-25.2321,,,,,,,,,,-5.858,-1.0478,0.6072,4.3287,-0.4815,2.226,-0.7732,3.6159,-4.6202,-1.9484,-15.0936,-25.2321,,,QC'd by Enamine
137,24786677,1371583,C1CSC(=N1)NC(=O)CN2C(=O)/C(=C/C3=CC(=CC=C3)Br)/SC2=S,Inconclusive,21,,,Inhibitor,79.3772,61.5461,,Partial curve; partial efficacy,-4.1003,3.9295,0.9704,-59.7315,1.8147,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-58.5603,,,,,,,,,,4.6271,-2.7777,5.1464,-0.7946,4.0831,1.2914,-0.8807,4.6788,-1.8989,-2.3284,-22.7326,-58.5603,,,QC'd by ChemBridge
138,49668295,4462544,CCN(CC)S(=O)(=O)C1=CC2=C(C=C1)OC(=C2C)C(=O)N3CCN(CC3)C(=O)OCC,Inactive,0,,,Inactive,,,,,,,,,,4,,-0.309,,,,,,,,,,,,-0.3072,-0.7958,-0.7311,-2.5329,-3.8958,-10.0328,-1.2316,0.1213,-1.7902,2.3962,1.4436,-0.309,QC'd by Chem Div
139,50112911,3387354,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O,Inconclusive,20,,,Inhibitor,31.6228,40.3228,,Complete curve; partial efficacy,-4.5,2.2526,0.9907,-43.7739,-3.4511,-1.2,0 0 0 0 0 0 0 0 0 0 0 0,-44.0531,,,,,,,,,,,,-6.1184,-0.9066,-1.2113,-4.5913,-4.5164,-5.4703,-7.3797,-14.9911,-32.9333,-39.6142,-44.5385,-44.0531,QC'd by null
140,26665244,330267,CCN(CC)CC1=CC2=C(C=C1OC)C3=CN=C4C=C(C=CC4=C3N2)Cl,Inconclusive,20,,,Inhibitor,112.202,60.5419,,Single point of activity,-3.95,4.9549,0.9606,-59.2895,1.2524,-3,0 0 0 0 0 0 0 0 0 0 0 0,-49.0393,,,,,,,,,,4.3051,-0.3725,4.046,-1.4123,5.9135,3.7092,-2.6967,-3.2654,1.2898,-0.0033,-5.1764,-49.0393,,,QC'd by NCI Chemotherapeutic Agents Repository
141,24810113,54679255,CCCCCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=NC(=CS3)CC(=O)OCC)O,Inconclusive,20,,,Inhibitor,89.0627,39.9304,,Single point of activity,-4.0503,3.9295,0.9308,-34.1411,5.7893,-3,0 0 0 0 0 0 0 0 0 0 0 0,-34.1742,,,,,,,,,,1.2051,11.612,3.2556,5.9028,9.7013,3.6211,8.9056,4.8291,4.5795,5.0345,-7.2995,-34.1742,,,QC'd by Asinex Ltd.
142,49666625,3731631,CCCCCC1CCC(CC1)C(=O)NCCN2CCOCC2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,10.0878,,,,,,,,,,-1.4806,-0.9388,4.186,3.2843,1.8114,7.5664,5.538,5.2853,4.3834,2.8181,4.1603,10.0878,,,QC'd by Key Organics Ltd.
143,24792689,135433271,C1=CC=C(C=C1)N2C(=O)C=C(N=C2SCC(=O)C3=CC=C(C=C3)Br)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-24.7665,,,,,,,,,,0.6282,-0.1037,-1.3187,-1.5373,-4.6874,2.9327,1.5132,0.204,0.454,-2.0307,-7.928,-24.7665,,,QC'd by ChemBridge
144,14741935,2022059,CC(C)SC1=NC(=C2C3=C(COC(C3)(C)C)SC2=N1)N4CCOCC4,Active,45,,,Inhibitor,316.228,94.4852,,Partial curve; partial efficacy,-3.5,3.5722,0.9864,-100,-5.5148,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-65.1189,,,,,,,,,,,,-3.7901,-6.5012,-7.8181,-8.7677,-4.4539,-6.3174,-5.3714,-5.377,-3.639,-3.8955,-18.8659,-65.1189,QC'd by DPISMR
145,49735306,17252944,C1OC2=C(O1)C=C(C=C2)C3=CC(=NO3)C(=O)NC4=C(C=CC(=C4)Br)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 1 1 0 0 0 0 0 0 0,-2.7548,,,,,,,,,,,,4.4962,5.3805,1.4845,0.9288,8.0714,3.8149,7.1443,5.7361,2.625,3.2139,0.4222,-2.7548,QC'd by Chem Div
146,17386245,1792598,C=CCN(CC=C)S(=O)(=O)C1=CC=C(C=C1)NC(=S)NC(=O)/C=C/C2=CC=CC3=CC=CC=C32,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-9.105,,,,,,,,,,6.2876,2.2106,2.0889,9.1708,5.2517,4.0803,6.5535,3.7914,2.5402,-0.3028,-3.6934,-9.105,,,QC'd by DPISMR
147,49667032,3468055,CC(C1=CC=CC=C1)C2=NN=C(S2)NC(=O)NC3=CC=CC=C3F,Inactive,0,,,Inactive,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0,-6.1762,,,,,,,,,,,,-3.9585,-0.3846,0.4931,3.9506,0.5276,2.5416,1.7851,0.6108,0.0692,1.7954,-3.3904,-6.1762,QC'd by InterBioScreen
148,7967333,5308762,CC(C)CC1=CC(=NO1)C(=O)NCCCN2CCOCC2,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,1.9243,,,,,,,,,,-6.0446,-0.0162,-3.2934,0.9056,-2.5563,0.9487,2.0531,0.4113,3.2758,2.7558,6.6206,1.9243,,,QC'd by Chem Div
149,22414727,15945806,C1CCN(CC1)CCOC2=CC=CC3=C2SC4=CC=CC=C4CC3=O.O.Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-10.9208,,,,,,,,,,1.2445,3.8055,-2.0379,0.3992,5.7643,2.2116,4.7965,5.0727,7.2634,1.8736,3.0178,-10.9208,,,QC'd by Specs
150,861684,9614333,C[N+]1(CCCCC1)CCNC(=O)/C=N/O.[I-],Inactive,0,,,Inactive,,,,,,,,,,4,,1.0871,,,,,,,,,,1.7547,-1.5718,1.2626,0.6466,2.13,5.3399,3.7405,-3.1011,2.987,-0.4574,-2.0777,1.0871,,,QC'd by DPISMR
151,26666340,590400,CN(C)C1=CC=C(C=C1)C2CC(=CC(=O)C2)NC3=CC=CC=C3N,Inconclusive,21,,,Inhibitor,79.3772,53.6401,,Partial curve; partial efficacy,-4.1003,3.0654,0.9367,-50.5518,3.0883,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-49.5606,,,,,,,,,,2.445,8.6737,2.6251,0.506,4.9759,1.5517,7.0826,0.8325,-2.2412,-6.6556,-16.066,-49.5606,,,QC'd by null
152,26748212,5702105,CCC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)C(C)O.OS(=O)(=O)O,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,-21.8622,-9.6945,-6.4529,-6.6754,-4.3559,-7.3181,-14.4178,-9.2706,,-18.8378,-9.5425,,-10.9698,-11.4777,,-12.9833,-11.4028,,-14.7773,,-18.1216,-21.8622,,,QC'd by Microsource
153,49720403,24791138,COC1=CC=CC=C1C(=O)NC2=CC=NN2C3CCN(CC3)CC4CCC=CC4,Inconclusive,27,,,Inhibitor,630.957,103,,Partial curve; partial efficacy,-3.2,1.4641,0.9687,-100,3,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-36.1651,,,,,,,,,,,,3.2233,4.5591,1.7247,2.7377,2.8298,1.3786,3.3141,2.1115,1.2779,-1.8604,-10.3075,-36.1651,QC'd by ChemBridge
154,24799726,25079265,C[C@@H]1CN(C[C@@H](O1)C)C(=O)C2=C(N3C=C(C=CC3=N2)Cl)CNCC[C@@H]4C[C@H]5C[C@@H]4C=C5,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.9299,,,,,,,,,,1.5865,-4.4877,5.3689,-0.0871,-1.5057,1.6208,1.1118,1.7151,8.4937,4.0071,4.7548,-3.9299,,,QC'd by ChemBridge
155,845185,6603052,CCC(C1=NN=NN1CC2=CC=C(C=C2)F)N3CCN(CC3)C4CCCCC4.Cl,Inconclusive,21,,,Inhibitor,79.3772,55.5831,,Partial curve; partial efficacy,-4.1003,3.99,0.9804,-49.0831,6.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-48.1207,,,,,,,,,,8.6106,3.1159,7.4311,4.5738,8.1151,7.5296,7.4349,8.2712,1.7739,3.3866,-17.6554,-48.1207,,,QC'd by DPISMR
156,17406928,844731,CCN1C(=C(C=N1)C(=O)NC2=NOC(=C2)C)C,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.2741,,,,,,,,,,2.5163,2.8815,5.3074,1.6707,7.5633,5.2758,10.8157,2.8357,1.8022,5.3623,5.7442,-3.2741,,,QC'd by DPISMR
157,26754442,5702653,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CS2,Inactive,0,,,Inactive,,,,,,,,,,4,,2.0321,,,,,,,,,,,,0,3.3001,0.4932,2.7745,2.5663,2.4199,0.6331,3.0234,1.1166,3.3484,2.442,2.0321,QC'd by Rare Chemicals GMBH
158,7973036,5310645,CC1=CC2=C(C=CC=C2N=N1)N,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 1 0 0 0 0 0 0 0 0 0,16.6502,,,,,,,,,,3.5904,4.9182,9.8696,0.104,3.075,-0.1024,2.2252,0.4455,6.2327,9.2456,9.524,16.6502,,,QC'd by DPISMR
159,47199488,1511076,C1CN(CCN1C2=NC=CC=N2)C(=O)C3=CC(=C(C=C3Cl)F)F,Inactive,0,,,Inactive,,,,,,,,,,4,,-3.5753,,,,,,,,,,-0.9688,4.0645,-4.2848,-2.7255,0.3745,0.8278,-2.3812,2.623,-3.9709,0.8724,-4.1422,-3.5753,,,QC'd by ChemBridge
160,842398,644666,CCCC(C1=NN=NN1CC2=CC=CO2)N3CCN(CC3)C4CCCC4,Inconclusive,26,,,Inhibitor,501.187,101.705,,Partial curve; partial efficacy,-3.3,1.21,0.9581,-100,1.705,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-42.9287,,,,,,,,,,,,-3.8282,0.8637,0.6872,-0.8328,1.0563,1.2718,2.9719,2.4611,-1.4878,-6.2902,-21.0845,-42.9287,QC'd by DPISMR
161,26670592,135577542,C/C(=N\NC1=CC(=C(C=C1)Cl)C(=O)O)/C2=CC=CN2,Inactive,0,,,Inactive,,,,,,,,,,4,,6.1007,,,,,,,,,,-2.6897,0.9091,11.6545,1.9568,3.7427,-0.7978,2.6303,5.5802,1.6987,9.5075,4.8985,6.1007,,,QC'd by null
162,26748644,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,Inconclusive,20,,,Inhibitor,630.957,104,,Single point of activity,-3.2,1.4641,0.8918,-100,4,-3,0 0 0 0 0 0 0 0 0 0 0 0,-35.4143,,,,,,,,,,,,-1.1457,0.0719,4.5731,5.2134,0.7532,2.1731,4.7357,7.8046,5.0226,3.5819,-8.9178,-35.4143,QC'd by Microsource
163,49677736,5057814,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C(C[N+](=O)[O-])C3=CC(=CC=C3)OC,Inconclusive,27,,,Inhibitor,630.957,92.967,,Partial curve; partial efficacy,-3.2,1.4641,0.9083,-100,-7.033,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-38.0634,,,,,,,,,,,,-6.7714,-5.3416,-5.8773,-5.0275,-5.9636,-8.156,-7.9665,-8.8412,-14.9695,-13.9624,-14.8379,-38.0634,QC'd by Life Chemicals
164,49725463,823562,C1OC2=C(O1)C=C(C=C2)NC(=O)C3=CC=CC=C3,Inactive,0,,,Inactive,,,,,,,,,,4,,0.9889,,,,,,,,,,5.3314,2.0813,5.0847,3.8452,5.7073,-1.125,-0.6341,2.3037,12.0926,7.2413,10.5189,0.9889,,,QC'd by Asinex Ltd.
165,4244986,6603675,CCOC1=CC2=C(C(=CN=C2C=C1)C(=O)OCC)N3CCN(CC3)C.Cl,Inconclusive,21,,,Inhibitor,70.7946,40.8345,,Partial curve; partial efficacy,-4.15,3.132,0.9666,-39.3633,1.4712,-2.2,0 0 0 0 0 0 0 0 0 0 0 0,-35.8813,,,,,,,,,,0.389,-1.6449,0.3437,-0.1566,3.9013,4.4072,-0.0631,0.8987,3.3968,0.2035,-22.6457,-35.8813,,,QC'd by DPISMR
166,17410496,1093497,C1=COC(=C1)C(=O)NC2=CC=C(C=C2)NC(=O)CSC3=CC=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0,-28.2031,,,,,,,,,,1.4129,-0.2192,3.6297,2.1654,0.9336,4.2627,1.234,-1.6413,8.3789,-0.0041,-7.1897,-28.2031,,,QC'd by DPISMR
167,49648993,1477208,CC1=CC(=NC2=C1C=C(C=C2)Cl)N3CCOCC3,Inconclusive,20,,,Inhibitor,630.957,101,,Single point of activity,-3.2,1.8265,0.8921,-100,1,-3,0 0 0 0 0 0 0 0 0 0 0 0,-31.205,,,,,,,,,,,,-1.8377,-0.1519,2.0131,2.0644,-0.6501,-1.3434,0.2661,1.703,0.6092,0.7104,-1.563,-31.205,QC'd by Key Organics Ltd.
168,49640993,1091481,C1CN(CCN1C(=O)N2CCOCC2)S(=O)(=O)C3=CC=C(C=C3)Cl,Inactive,0,,,Inactive,,,,,,,,,,4,,5.8664,,,,,,,,,,0.7456,1.8943,7.5978,5.1154,0.4307,7.4143,1.4698,13.7533,2.9792,6.2607,9.0427,5.8664,,,QC'd by Asinex Ltd.
